Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
1,9.432690,-9.519270,-28.837700,-38.827300,5.086640,-9.686100,22.573800,35.922300,-12.311800,21.959500,7.611540,-10.805800,-23.053200,-10.690300,169.056000,-53.754100,174.324000,41.684800,876.513000,441.481000
2,9.442980,-9.523380,-28.821800,-38.852100,5.095640,-9.683730,22.601400,35.922800,-12.343500,21.948800,7.631530,-10.828400,-23.077600,-10.679000,169.035000,-53.755400,174.298000,41.842600,876.510000,441.463000
3,9.462170,-9.518540,-28.835600,-38.825600,5.099850,-9.690620,22.620100,35.910500,-12.376000,21.966700,7.652160,-10.840600,-23.093200,-10.668600,169.023000,-53.756700,174.282000,41.982400,876.507000,441.438000
4,9.474120,-9.521140,-28.835900,-38.814000,5.099700,-9.693630,22.627200,35.902500,-12.393300,21.966800,7.668920,-10.839300,-23.108300,-10.656500,169.025000,-53.764200,174.277000,42.117800,876.503000,441.406000
5,9.485780,-9.549190,-28.857800,-38.879300,5.026880,-9.766180,22.341300,36.142500,-12.382600,21.988200,7.655470,-10.725700,-22.836200,-10.625400,169.049000,-53.780600,174.321000,42.195000,876.409000,441.334000
6,9.474270,-9.554460,-28.852200,-38.922100,4.587220,-9.837900,20.265700,36.890300,-12.321500,21.971100,7.627030,-10.012600,-20.799500,-10.332900,169.118000,-53.814600,174.398000,42.162400,876.358000,441.271000
7,9.534480,-9.622150,-28.772200,-38.974800,4.691030,-9.791690,21.089200,36.684800,-12.382000,21.953800,7.664580,-10.271900,-21.597100,-10.416800,169.073000,-53.795100,174.351000,42.404300,876.356000,441.269000
8,9.556990,-9.612360,-28.757100,-38.960000,4.949270,-9.748020,22.149000,36.219000,-12.432700,21.946500,7.717420,-10.628500,-22.624300,-10.538000,169.056000,-53.790400,174.303000,42.596200,876.404000,441.224000
9,9.561490,-9.612760,-28.712000,-38.962900,4.732760,-9.688640,21.843300,36.311700,-12.422900,21.896100,7.705150,-10.442900,-22.335900,-10.460500,169.069000,-53.811200,174.319000,42.656400,876.396000,441.223000
10,9.584970,-9.614900,-28.702000,-38.967900,4.718640,-9.682970,21.755200,36.301900,-12.451400,21.882100,7.726400,-10.416600,-22.243300,-10.430300,169.063000,-53.818400,174.305000,42.794500,876.383000,441.190000
11,9.601970,-9.628650,-28.655100,-38.975500,4.669910,-9.768610,21.094800,36.626700,-12.430900,21.847300,7.701060,-10.239900,-21.558100,-10.373900,169.095000,-53.825800,174.355000,42.864000,876.344000,441.210000
12,9.638350,-9.637060,-28.649500,-38.960900,4.635620,-9.770030,20.986700,36.658900,-12.471100,21.834400,7.722410,-10.209600,-21.457400,-10.341800,169.080000,-53.832100,174.336000,43.009600,876.337000,441.182000
13,9.679520,-9.650140,-28.655400,-38.924800,4.815480,-9.735780,21.765200,36.293900,-12.525000,21.818400,7.774350,-10.463400,-22.249300,-10.421400,169.063000,-53.844300,174.293000,43.165500,876.376000,441.093000
14,9.728580,-9.654940,-28.644100,-38.883600,4.856980,-9.727770,21.890900,36.215100,-12.564600,21.810400,7.790030,-10.518100,-22.343400,-10.434600,169.055000,-53.841200,174.285000,43.294200,876.376000,441.121000
15,9.777660,-9.660050,-28.650500,-38.841500,4.870900,-9.763940,21.870200,35.858100,-12.604000,21.789300,7.809410,-10.558400,-22.501400,-10.433100,169.043000,-53.868700,174.271000,43.376700,876.361000,441.033000
16,9.825550,-9.670610,-28.633000,-38.812100,4.885900,-9.764420,21.882800,35.788100,-12.640200,21.753400,7.826510,-10.571500,-22.534500,-10.428500,169.036000,-53.883200,174.260000,43.484500,876.359000,441.003000
17,9.876480,-9.661380,-28.633200,-38.740800,4.915630,-9.767710,22.006200,35.758700,-12.680000,21.739100,7.844120,-10.613700,-22.663600,-10.441600,169.028000,-53.899400,174.250000,43.588200,876.365000,440.964000
18,9.918970,-9.638840,-28.594400,-38.645000,5.025340,-9.679840,22.577800,35.383200,-12.733600,21.688100,7.881680,-10.801400,-23.245300,-10.494300,169.005000,-53.901800,174.200000,43.700100,876.455000,440.982000
19,9.977360,-9.571420,-28.799500,-38.496200,5.047510,-9.682200,22.648100,35.337500,-12.819200,21.849000,7.920750,-10.829700,-23.320100,-10.500800,168.994000,-53.918300,174.186000,43.760400,876.440000,440.969000
20,10.019000,-9.567500,-28.807600,-38.464000,5.062020,-9.681000,22.679900,35.352500,-12.855700,21.832900,7.941880,-10.841300,-23.354300,-10.493600,168.987000,-53.928000,174.171000,43.835500,876.433000,440.924000
21,10.018000,-9.568370,-28.643300,-38.477400,5.062650,-9.679410,22.671700,35.337000,-12.841000,21.642600,7.924830,-10.842700,-23.351800,-10.484500,168.976000,-53.939100,174.159000,43.916600,876.440000,440.868000
22,10.048000,-9.568960,-28.638300,-38.480500,5.063030,-9.673970,22.684400,35.362500,-12.858500,21.617200,7.944080,-10.832400,-23.363700,-10.470700,168.984000,-53.946100,174.156000,43.977800,876.432000,440.796000
23,10.077800,-9.590490,-28.655900,-38.510500,5.021900,-9.736100,22.413400,35.578900,-12.871000,21.611900,7.947160,-10.746300,-23.093300,-10.434900,168.988000,-53.957900,174.169000,44.025800,876.370000,440.704000
24,10.101600,-9.584320,-28.668100,-38.505800,5.011630,-9.738010,22.376400,35.581500,-12.892400,21.612600,7.965670,-10.731300,-23.070100,-10.416400,168.984000,-53.960400,174.161000,44.078700,876.362000,440.628000
25,10.122300,-9.588510,-28.660800,-38.472200,5.000310,-9.740140,22.356700,35.619200,-12.903000,21.602400,7.976270,-10.712900,-23.048200,-10.403600,168.988000,-53.962700,174.161000,44.114500,876.359000,440.556000
26,10.147000,-9.587260,-28.653100,-38.488800,5.000510,-9.723450,22.444300,35.618700,-12.921000,21.577900,7.993210,-10.711100,-23.065700,-10.389900,168.985000,-53.967400,174.151000,44.155900,876.350000,440.479000
27,10.175900,-9.584940,-28.647500,-38.444400,5.017840,-9.736480,22.482900,35.633000,-12.936800,21.555200,7.999650,-10.723600,-23.097400,-10.395200,168.983000,-53.974600,174.149000,44.182800,876.347000,440.418000
28,10.212600,-9.588500,-28.646000,-38.426000,5.019900,-9.692750,22.503600,35.640200,-12.968000,21.526200,8.016880,-10.713200,-23.015100,-10.375300,168.969000,-53.977600,174.132000,44.244300,876.337000,440.347000
29,10.249400,-9.589900,-28.626700,-38.390900,5.019160,-9.755240,22.357300,35.707200,-12.987900,21.487000,8.024590,-10.703100,-22.991000,-10.370400,168.964000,-53.987700,174.127000,44.269600,876.337000,440.283000
30,10.315300,-9.615640,-28.642600,-38.375900,5.028840,-9.757260,22.407900,35.663500,-13.020500,21.474300,8.048880,-10.704700,-23.076100,-10.365000,168.973000,-54.000800,174.126000,44.277300,876.324000,440.199000
31,10.383100,-9.611090,-28.635900,-38.297700,5.049310,-9.770860,22.416200,35.664000,-13.058900,21.442600,8.064790,-10.710700,-23.088000,-10.364900,168.970000,-54.016600,174.122000,44.310600,876.324000,440.129000
32,10.517000,-9.610270,-28.817800,-38.137700,5.054500,-9.776250,22.394100,35.673600,-13.166800,21.598000,8.125630,-10.702900,-23.081800,-10.352300,168.966000,-54.032300,174.110000,44.336500,876.316000,440.060000
33,10.593500,-9.609990,-28.787100,-38.073900,5.045210,-9.777610,22.335300,35.704900,-13.207500,21.532800,8.138680,-10.680700,-23.040500,-10.338000,168.960000,-54.053500,174.102000,44.366800,876.318000,439.996000
34,10.693100,-9.611800,-28.753300,-37.982900,5.048390,-9.786460,22.294300,35.689000,-13.270800,21.470400,8.163750,-10.674000,-23.022300,-10.321300,168.948000,-54.072300,174.083000,44.422700,876.316000,439.931000
35,10.788700,-9.609980,-28.717900,-37.890900,5.025710,-9.789890,22.222300,35.725400,-13.314000,21.402100,8.174740,-10.639600,-22.975300,-10.308700,168.952000,-54.094400,174.086000,44.440400,876.318000,439.878000
36,10.855700,-9.621520,-28.479700,-37.883800,5.078210,-9.734520,22.500700,35.510200,-13.335200,21.123600,8.178570,-10.722700,-23.280200,-10.321500,168.938000,-54.113300,174.047000,44.508800,876.380000,439.846000
37,10.994700,-9.670460,-28.408300,-37.828500,5.088690,-9.743460,22.500300,35.478700,-13.392800,21.027700,8.201320,-10.718600,-23.304900,-10.317600,168.941000,-54.137400,174.045000,44.540600,876.380000,439.787000
38,11.108700,-9.651440,-28.416400,-37.726100,5.030640,-9.799340,22.151500,35.708200,-13.459700,20.979600,8.204020,-10.609400,-22.970300,-10.275700,168.938000,-54.168300,174.052000,44.559200,876.319000,439.720000
39,11.268800,-9.699950,-28.348300,-37.673100,4.990410,-9.815010,22.008300,35.782200,-13.539400,20.892800,8.240050,-10.552500,-22.850500,-10.238300,168.932000,-54.188100,174.036000,44.599000,876.308000,439.650000
40,11.405200,-9.705180,-28.306500,-37.577300,4.987770,-9.817250,21.967500,35.820400,-13.617600,20.799600,8.268270,-10.535500,-22.827900,-10.219800,168.925000,-54.209200,174.020000,44.638300,876.290000,439.590000
41,11.542800,-9.713410,-28.261100,-37.513700,4.991410,-9.842840,21.925500,35.842600,-13.705700,20.707700,8.300840,-10.531700,-22.812400,-10.199000,168.907000,-54.223200,173.991000,44.689400,876.265000,439.540000
42,11.665500,-9.699720,-28.226900,-37.412500,4.994370,-9.847820,21.902300,35.815700,-13.776300,20.630500,8.321540,-10.529100,-22.806900,-10.189500,168.899000,-54.233700,173.978000,44.713400,876.262000,439.490000
43,11.788000,-9.703800,-28.173600,-37.317800,4.999530,-9.847740,21.912200,35.786800,-13.836400,20.537200,8.343970,-10.522100,-22.821600,-10.179000,168.901000,-54.244800,173.971000,44.727500,876.258000,439.422000
44,11.901300,-9.715590,-28.112000,-37.227100,5.001900,-9.856010,21.913200,35.803900,-13.889600,20.442200,8.359610,-10.517600,-22.826900,-10.171600,168.899000,-54.250100,173.965000,44.732100,876.246000,439.348000
45,12.014400,-9.729140,-28.030100,-37.173300,5.010690,-9.862330,21.918800,35.811000,-13.944800,20.337200,8.382200,-10.513700,-22.830700,-10.154700,168.896000,-54.252700,173.950000,44.743600,876.227000,439.276000
46,12.084600,-9.695120,-27.996300,-37.111400,5.002700,-9.877310,21.859100,35.860800,-13.978100,20.259800,8.388870,-10.481500,-22.781500,-10.139400,168.907000,-54.258800,173.953000,44.710800,876.204000,439.196000
47,12.160800,-9.691850,-27.923700,-37.056200,4.807030,-9.845790,21.506400,36.042000,-14.002700,20.166100,8.386040,-10.299300,-22.432900,-10.058100,168.907000,-54.265900,173.958000,44.668300,876.186000,439.115000
48,12.249500,-9.729030,-27.841800,-36.998300,4.982890,-9.877310,21.822000,35.900300,-14.041400,20.083800,8.416220,-10.454300,-22.738000,-10.110300,168.895000,-54.254200,173.935000,44.687000,876.208000,438.996000
49,12.287100,-9.683510,-27.814800,-36.929400,4.935190,-9.867680,21.792200,35.901900,-14.059900,20.019800,8.415290,-10.413100,-22.713300,-10.090500,168.896000,-54.257400,173.933000,44.630300,876.195000,438.905000
50,12.329000,-9.693330,-27.764900,-36.911400,4.932150,-9.873000,21.796300,35.912100,-14.080300,19.961200,8.425200,-10.409200,-22.710400,-10.078100,168.882000,-54.250500,173.917000,44.593300,876.187000,438.795000
51,12.357400,-9.714090,-27.736800,-36.927300,4.937710,-9.877720,21.820000,35.886100,-14.094800,19.916200,8.435340,-10.414100,-22.732800,-10.069300,168.869000,-54.245200,173.900000,44.555200,876.183000,438.672000
52,12.361600,-9.712070,-27.702600,-36.950300,4.942540,-9.889630,21.850700,35.891200,-14.091000,19.881200,8.437580,-10.415400,-22.756700,-10.066300,168.861000,-54.239900,173.892000,44.492800,876.179000,438.544000
53,12.362100,-9.716770,-27.703600,-36.958300,4.946900,-9.897250,21.868900,35.891500,-14.097200,19.887200,8.447400,-10.420400,-22.770500,-10.060200,168.842000,-54.234700,173.874000,44.434400,876.177000,438.413000
54,12.329200,-9.718780,-27.691200,-36.987800,4.942830,-9.906410,21.883000,35.906500,-14.076100,19.881700,8.441900,-10.415600,-22.768800,-10.057300,168.830000,-54.229900,173.866000,44.357500,876.177000,438.288000
55,12.300800,-9.722330,-27.701000,-37.007500,4.957860,-9.918580,21.901100,35.882000,-14.071100,19.904500,8.444730,-10.432800,-22.790700,-10.056600,168.803000,-54.226100,173.844000,44.303000,876.180000,438.161000
56,12.262900,-9.723400,-27.717700,-37.045100,4.958360,-9.926120,21.864400,35.916100,-14.063400,19.933500,8.450620,-10.425800,-22.729300,-10.043500,168.776000,-54.224000,173.819000,44.252400,876.187000,438.021000
57,12.217200,-9.723820,-27.753800,-37.082400,4.957570,-9.940270,21.850400,35.938700,-14.052000,19.970400,8.455280,-10.422000,-22.715000,-10.034000,168.751000,-54.228000,173.796000,44.193200,876.184000,437.879000
58,12.170000,-9.712170,-27.790600,-37.081200,4.966750,-9.954030,21.857200,35.919000,-14.039100,20.011400,8.456260,-10.431800,-22.742300,-10.034500,168.727000,-54.236400,173.776000,44.131900,876.196000,437.745000
