Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
1,19.35400,-14.90100,-27.57400,-42.08750,12.76930,-13.72750,23.54650,34.65770,-16.30450,11.75190,8.82696,-12.00190,-16.83880,-8.22512,154.85500,-76.38320,156.89900,-48.73210,874.30800,410.77400
2,19.36000,-14.89520,-27.57740,-42.08360,12.82640,-13.70420,23.74890,34.58590,-16.31730,11.77030,8.85420,-12.05950,-17.00170,-8.24707,154.88000,-76.37450,156.90700,-48.63380,874.31900,410.73700
3,19.35720,-14.89320,-27.57070,-42.06210,12.82060,-13.69480,23.69670,34.52350,-16.31300,11.77360,8.83928,-12.05790,-16.97720,-8.24609,154.90500,-76.37140,156.94300,-48.56130,874.31700,410.79600
4,19.37580,-14.88240,-27.54470,-42.03450,12.83680,-13.66590,23.67040,34.48760,-16.42410,11.77980,8.87174,-12.15590,-16.88510,-8.21793,154.64200,-76.30470,156.66400,-48.30070,874.34200,410.85300
5,19.35670,-14.87820,-27.46450,-42.01000,12.70360,-13.64900,23.32070,34.58540,-16.42810,11.72490,8.82808,-12.07610,-16.56100,-8.16766,154.55800,-76.29230,156.60100,-48.20890,874.37800,411.01500
6,19.36620,-14.88450,-27.49870,-42.03920,12.82690,-13.64870,23.65370,34.43370,-16.43930,11.76020,8.86240,-12.17940,-16.88020,-8.21774,154.58900,-76.29100,156.61500,-48.16190,874.35700,410.93700
7,19.36220,-14.88190,-27.46870,-42.03710,12.78930,-13.66420,23.54530,34.51870,-16.44810,11.73500,8.84120,-12.16370,-16.76380,-8.21067,154.53800,-76.28960,156.57600,-48.08630,874.35300,411.01800
8,19.36780,-14.86760,-27.46560,-42.03150,12.80800,-13.65260,23.58870,34.46630,-16.46790,11.73230,8.84412,-12.19710,-16.79780,-8.21741,154.50100,-76.28330,156.53700,-48.00510,874.35700,411.06500
9,19.35430,-14.84960,-27.41220,-41.99540,12.71300,-13.64730,23.37000,34.58210,-16.47310,11.68200,8.80976,-12.14210,-16.58870,-8.19130,154.43000,-76.28080,156.47900,-47.93600,874.38700,411.21600
10,19.36070,-14.84430,-27.41390,-41.99010,12.70740,-13.64630,23.33230,34.58230,-16.48930,11.67650,8.80814,-12.14780,-16.56110,-8.18743,154.39400,-76.27930,156.44300,-47.87900,874.38900,411.26600
