Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
1,8.25236,-11.88040,-39.38830,-43.77350,2.79332,-13.14460,20.20720,40.42760,-14.16930,14.42840,8.99674,-6.69699,-26.53910,-8.21071,159.22100,-66.62690,163.30900,-66.36440,875.01100,397.38900
2,8.25176,-11.89230,-39.40210,-43.79790,2.79609,-13.15550,20.22910,40.44320,-14.17200,14.44770,8.99285,-6.70864,-26.56140,-8.22033,159.20800,-66.62170,163.30100,-66.42540,875.00500,397.39700
3,8.25349,-11.90030,-39.42750,-43.80390,2.79353,-13.15970,20.23810,40.45320,-14.18160,14.47340,8.99138,-6.71826,-26.57010,-8.22599,159.18700,-66.61590,163.28400,-66.47920,874.99300,397.40800
4,8.24448,-11.90750,-39.42950,-43.82350,2.79541,-13.16490,20.25360,40.46430,-14.17940,14.47940,8.98544,-6.72871,-26.58070,-8.23416,159.17200,-66.61080,163.27500,-66.52840,874.98700,397.42100
5,8.23793,-11.91150,-39.42220,-43.85340,2.78302,-13.16140,20.23040,40.46380,-14.18310,14.47900,8.98052,-6.72861,-26.56230,-8.23310,159.14600,-66.60710,163.25200,-66.57340,874.97900,397.44100
6,8.23370,-11.91560,-39.42800,-43.86320,2.77908,-13.14960,20.22530,40.44140,-14.18550,14.48740,8.97810,-6.73258,-26.56520,-8.23519,159.12900,-66.60450,163.23700,-66.62510,874.98000,397.45800
7,8.23222,-11.92060,-39.43990,-43.86620,2.77400,-13.14480,20.21420,40.43190,-14.18690,14.51490,8.97536,-6.73279,-26.55360,-8.23897,159.12200,-66.59930,163.23300,-66.68450,874.98300,397.48300
8,8.22222,-11.92570,-39.45630,-43.89270,2.77825,-13.14350,20.20530,40.42180,-14.18670,14.53950,8.97348,-6.74136,-26.54880,-8.24346,159.11000,-66.59140,163.22300,-66.74700,874.98400,397.51000
9,8.21122,-11.92960,-39.50900,-43.90580,2.76858,-13.16410,20.24440,40.47290,-14.12450,14.58070,8.95556,-6.69097,-26.60260,-8.26866,159.21200,-66.62050,163.33300,-66.93200,874.96000,397.48000
10,8.22742,-11.93580,-39.50460,-43.90480,2.87408,-13.16400,20.34290,40.35800,-14.21330,14.60580,8.98228,-6.83542,-26.67310,-8.28227,159.06700,-66.57420,163.18000,-66.84390,874.99500,397.55800
11,8.21920,-11.93920,-39.50420,-43.90120,2.88130,-13.16090,20.34740,40.33040,-14.20490,14.61250,8.97326,-6.84395,-26.68120,-8.29327,159.06500,-66.57070,163.18200,-66.91820,874.99800,397.59100
12,8.21408,-11.93880,-39.54240,-43.91370,2.86600,-13.18580,20.37160,40.37740,-14.15670,14.63710,8.95347,-6.80064,-26.71440,-8.31514,159.13900,-66.59670,163.26500,-67.08480,874.97500,397.58600
13,8.21482,-11.93630,-39.54260,-43.89310,2.86389,-13.17740,20.32660,40.36930,-14.15900,14.64800,8.94597,-6.80262,-26.68350,-8.32079,159.12700,-66.59060,163.25900,-67.14210,874.97900,397.62900
14,8.21814,-11.94120,-39.54420,-43.91310,2.84891,-13.18250,20.28480,40.38320,-14.16270,14.64960,8.93811,-6.79622,-26.63510,-8.32165,159.11200,-66.58670,163.25000,-67.19760,874.97500,397.67700
15,8.21517,-11.95330,-39.52050,-43.92690,2.85524,-13.18740,20.27490,40.39290,-14.15580,14.63410,8.92893,-6.80267,-26.61800,-8.32939,159.11000,-66.57950,163.25100,-67.25460,874.97300,397.72500
16,8.26040,-11.95510,-39.64490,-43.89800,2.86291,-13.17640,20.27520,40.35340,-14.24910,14.74820,8.95555,-6.84815,-26.62820,-8.32174,158.99000,-66.57190,163.12900,-67.29020,874.97600,397.75200
17,8.22932,-11.97650,-39.50530,-43.95920,2.86093,-13.17530,20.28140,40.36790,-14.20180,14.60950,8.93017,-6.84927,-26.62890,-8.32953,158.99600,-66.56510,163.13900,-67.35820,874.97300,397.77900
18,8.23347,-11.97680,-39.45050,-43.96230,2.88388,-13.15530,20.26090,40.31000,-14.25030,14.58880,8.93474,-6.91549,-26.58460,-8.32570,158.89800,-66.52170,163.04000,-67.32010,875.00000,397.88400
19,8.22224,-11.98490,-39.47640,-43.98410,2.87730,-13.17580,20.34830,40.35630,-14.19420,14.59490,8.91871,-6.88117,-26.68300,-8.34916,158.97700,-66.54910,163.12400,-67.48720,874.97300,397.84800
20,8.22442,-11.98860,-39.44010,-43.99310,2.90746,-13.16690,20.34380,40.30720,-14.24870,14.59860,8.92337,-6.96064,-26.65080,-8.35181,158.87000,-66.50110,163.02200,-67.44270,875.00300,397.94600
21,8.21637,-11.98630,-39.45990,-43.97950,2.90951,-13.16180,20.36260,40.30130,-14.24220,14.63680,8.91753,-6.97022,-26.65850,-8.36459,158.87500,-66.48580,163.03300,-67.52560,875.01000,397.97400
22,8.22684,-12.00120,-39.51970,-43.99960,3.04180,-13.19710,20.70300,40.19370,-14.26200,14.70920,8.94486,-7.09981,-26.98070,-8.41400,158.87400,-66.46400,163.02100,-67.56030,875.01900,397.92200
23,8.20490,-11.98860,-39.49590,-43.97800,2.97295,-13.18790,20.54430,40.25300,-14.24090,14.70330,8.90530,-7.05738,-26.81540,-8.41860,158.86100,-66.45090,163.03600,-67.67240,875.01700,398.02300
24,8.19992,-11.99650,-39.48550,-43.98420,2.95828,-13.18670,20.51710,40.26790,-14.23230,14.71480,8.89835,-7.04922,-26.77450,-8.42095,158.86600,-66.43420,163.04600,-67.75360,875.01600,398.04500
25,8.20501,-11.99980,-39.48670,-43.98640,2.94249,-13.18610,20.49410,40.28870,-14.22910,14.72950,8.89295,-7.04022,-26.74440,-8.42323,158.87100,-66.41930,163.05700,-67.82810,875.01000,398.05800
26,8.20242,-12.01350,-39.45270,-44.01280,2.95459,-13.19120,20.54320,40.28410,-14.21570,14.71010,8.88721,-7.05339,-26.77970,-8.43520,158.88000,-66.40730,163.06900,-67.90180,875.00800,398.06300
27,8.19618,-12.02250,-39.42290,-44.03240,2.94122,-13.18630,20.53100,40.29200,-14.19670,14.68940,8.87466,-7.04443,-26.75920,-8.44029,158.89400,-66.39450,163.08900,-67.98560,875.00700,398.08000
28,8.19812,-12.02700,-39.39540,-44.03880,2.94242,-13.18350,20.54070,40.29180,-14.18490,14.67740,8.86562,-7.04686,-26.76060,-8.44975,158.90400,-66.38470,163.10400,-68.05820,875.01300,398.09300
29,8.19512,-12.02860,-39.38130,-44.03920,2.94501,-13.18430,20.55080,40.29040,-14.17300,14.67160,8.86016,-7.05034,-26.76460,-8.45647,158.91500,-66.37180,163.11800,-68.12630,875.01800,398.09500
30,8.19190,-12.03400,-39.36310,-44.04150,2.94184,-13.18390,20.54930,40.29020,-14.16060,14.67570,8.85394,-7.04829,-26.74890,-8.46179,158.92700,-66.35770,163.13500,-68.19900,875.02100,398.09800
31,8.19367,-12.03650,-39.34880,-44.03670,2.94298,-13.18390,20.53380,40.29560,-14.16040,14.67940,8.84817,-7.05477,-26.72720,-8.46700,158.92200,-66.34490,163.13500,-68.24560,875.02300,398.10800
32,8.19938,-12.04140,-39.35880,-44.04190,2.94274,-13.18750,20.51830,40.30560,-14.15800,14.70170,8.84580,-7.05266,-26.70450,-8.47115,158.93300,-66.33300,163.15000,-68.29980,875.02200,398.11000
33,8.19566,-12.05290,-39.36320,-44.05740,2.93828,-13.19990,20.51340,40.35020,-14.10600,14.73140,8.83805,-7.00972,-26.68270,-8.48145,159.04400,-66.32670,163.26300,-68.38490,875.00200,398.09900
34,8.19814,-12.06190,-39.35940,-44.08530,2.93258,-13.20150,20.49930,40.36880,-14.10150,14.73540,8.83731,-7.00423,-26.65950,-8.48100,159.05300,-66.31350,163.27500,-68.42970,874.99600,398.09100
35,8.19833,-12.07050,-39.33830,-44.10130,2.93413,-13.21200,20.50370,40.38800,-14.09400,14.72920,8.83364,-7.00578,-26.65110,-8.48436,159.06200,-66.30110,163.28600,-68.47270,874.99000,398.08600
36,8.19846,-12.08130,-39.32600,-44.12520,2.93013,-13.20650,20.50280,40.39170,-14.08760,14.72490,8.82997,-7.00541,-26.64020,-8.48637,159.06800,-66.28750,163.29600,-68.51850,874.98300,398.07900
37,8.20650,-12.08450,-39.30920,-44.12200,2.93091,-13.19230,20.49540,40.36360,-14.13670,14.70550,8.83905,-7.04723,-26.63450,-8.47453,158.96300,-66.26940,163.19100,-68.51400,874.99800,398.06400
38,8.24615,-12.09490,-39.47660,-44.14270,3.11344,-13.24550,20.95750,40.25850,-14.19080,14.87330,8.89771,-7.21175,-27.06950,-8.53048,158.96900,-66.25250,163.17400,-68.51540,874.99000,397.94600
39,8.20139,-12.07860,-39.29250,-44.11600,2.97138,-13.20450,20.64710,40.33470,-14.12540,14.71270,8.82665,-7.10190,-26.76700,-8.51028,158.96200,-66.25040,163.20200,-68.62340,875.00200,398.04200
