Frame,L_Femur_L_Tibia,L_Tibia_L_Foot_X,L_Tibia_L_Foot_Y,L_Tibia_L_Foot_Z,R_Femur_R_Tibia,R_Tibia_R_Foot_X,R_Tibia_R_Foot_Y,R_Tibia_R_Foot_Z,Root_L_Femur_X,Root_L_Femur_Y,Root_L_Femur_Z,Root_R_Femur_X,Root_R_Femur_Y,Root_R_Femur_Z,World_Root_Ang_X,World_Root_Ang_Y,World_Root_Ang_Z,World_Root_Pos_X,World_Root_Pos_Y,World_Root_Pos_Z
1,8.28673,-12.86990,-32.66240,-51.83090,3.85047,-11.93390,24.31190,43.29950,-15.06490,22.08620,12.26090,-11.50850,-30.25850,-14.07520,161.59600,-69.00500,164.72500,53.61550,865.50400,303.41000
2,8.28259,-12.86650,-32.66120,-51.81450,3.86848,-11.94170,24.31140,43.27690,-15.05250,22.08930,12.25640,-11.51390,-30.24650,-14.08440,161.62200,-68.99770,164.75000,53.59290,865.48800,303.47100
3,8.28299,-12.87610,-32.65510,-51.83740,3.88605,-11.95440,24.31960,43.28050,-15.04460,22.08960,12.24570,-11.52990,-30.24110,-14.10220,161.63300,-68.99300,164.76600,53.57290,865.50100,303.53900
4,8.27821,-12.88080,-32.64640,-51.84920,3.90757,-11.95900,24.35130,43.24820,-15.02920,22.08510,12.23940,-11.54630,-30.26740,-14.11930,161.66000,-68.99120,164.79200,53.55310,865.49600,303.59200
5,8.27610,-12.88380,-32.62650,-51.84210,3.91380,-11.96390,24.34550,43.21710,-15.01040,22.07270,12.22880,-11.54530,-30.26680,-14.13030,161.68800,-68.99120,164.82200,53.52450,865.49000,303.65500
6,8.27557,-12.87880,-32.60920,-51.85370,3.91133,-11.97200,24.32410,43.22770,-14.99980,22.05630,12.21330,-11.54200,-30.24250,-14.13910,161.69500,-68.99280,164.83600,53.51740,865.51300,303.71600
7,8.29070,-12.89460,-32.65550,-51.85710,4.02811,-12.00670,24.63450,43.13290,-15.01680,22.09910,12.23960,-11.68510,-30.53460,-14.21260,161.71600,-68.98910,164.84500,53.52680,865.48500,303.70000
8,8.28166,-12.88070,-32.63250,-51.82280,3.93549,-12.00470,24.34300,43.20940,-14.98550,22.08230,12.19410,-11.56120,-30.26340,-14.17680,161.73100,-68.99840,164.88300,53.47040,865.51100,303.83300
9,8.25242,-12.86330,-32.59290,-51.78300,3.94437,-12.01860,24.34550,43.19810,-14.91180,22.05650,12.14070,-11.55500,-30.27270,-14.22710,161.81000,-69.01290,164.98300,53.35080,865.52500,303.97500
10,8.25414,-12.86640,-32.60890,-51.79460,3.95034,-12.03030,24.33190,43.17790,-14.91210,22.07310,12.13850,-11.55710,-30.26290,-14.23240,161.81900,-69.01220,164.99200,53.34460,865.52500,304.01400
11,8.26222,-12.87450,-32.61380,-51.81920,3.95443,-12.04240,24.29420,43.18310,-14.91740,22.08170,12.13640,-11.55540,-30.22910,-14.23340,161.82100,-69.00790,164.99700,53.34500,865.52600,304.06000
12,8.28765,-12.90500,-32.64110,-51.87440,3.94118,-12.04710,24.20320,43.17750,-14.96550,22.10510,12.17970,-11.52120,-30.14010,-14.17670,161.79400,-68.99610,164.94800,53.43420,865.48300,304.02100
13,8.29166,-12.90620,-32.63130,-51.88800,3.87985,-12.03850,24.04470,43.23440,-14.95510,22.09270,12.16580,-11.44310,-29.99530,-14.14420,161.80800,-68.99900,164.96800,53.41690,865.49700,304.07300
14,8.28899,-12.91480,-32.61840,-51.90490,3.87750,-12.03780,24.00300,43.20920,-14.93970,22.08330,12.16530,-11.41920,-29.95880,-14.13530,161.83700,-69.00030,164.99300,53.39280,865.48800,304.09700
